"","Spell","Rune"
"1","Locust Swarm","Pestilence"
"2","Haunt","Resentful Spirits"
"3","Piranhas","Piranhado"
"4","Horrify","Stalker"
"5","Spirit Walk","Jaunt"
"6","Soul Harvest","Siphon"
"7","Pierce the Veil","Passive"
"8","Gruesome Feast","Passive"
"9","Spirit Vessel","Passive"
"10","Creeping Death","Passive"
"11","Haunt","Resentful Spirits"
"12","Locust Swarm","Devouring Swarm"
"13","Spirit Walk","Jaunt"
"14","Piranhas","Piranhado"
"15","Soul Harvest","Siphon"
"16","Horrify","Frightening Aspect"
"17","Spirit Vessel","Passive"
"18","Creeping Death","Passive"
"19","Grave Injustice","Passive"
"20","Pierce the Veil","Passive"
"21","Fetish Army","Legion of Daggers"
"22","Spirit Barrage","Manitou"
"23","Hex","Angry Chicken"
"24","Spirit Walk","Jaunt"
"25","Soul Harvest","Vengeful Spirit"
"26","Horrify","Stalker"
"27","Spirit Vessel","Passive"
"28","Fierce Loyalty","Passive"
"29","Circle of Life","Passive"
"30","Tribal Rites","Passive"
"31","Haunt","Resentful Spirits"
"32","Piranhas","Piranhado"
"33","Spirit Walk","Jaunt"
"34","Horrify","Frightening Aspect"
"35","Soul Harvest","Siphon"
"36","Locust Swarm","Devouring Swarm"
"37","Pierce the Veil","Passive"
"38","Creeping Death","Passive"
"39","Gruesome Feast","Passive"
"40","Grave Injustice","Passive"
"41","Haunt","Resentful Spirits"
"42","Piranhas","Piranhado"
"43","Spirit Walk","Jaunt"
"44","Soul Harvest","Siphon"
"45","Locust Swarm","Pestilence"
"46","Horrify","Face of Death"
"47","Creeping Death","Passive"
"48","Pierce the Veil","Passive"
"49","Spirit Vessel","Passive"
"50","Grave Injustice","Passive"
"51","Piranhas","Piranhado"
"52","Mass Confusion","Paranoia"
"53","Spirit Walk","Jaunt"
"54","Horrify","Face of Death"
"55","Big Bad Voodoo","Slam Dance"
"56","Fetish Army","Tiki Torchers"
"57","Grave Injustice","Passive"
"58","Jungle Fortitude","Passive"
"59","Tribal Rites","Passive"
"60","Spirit Vessel","Passive"
"61","Haunt","Resentful Spirits"
"62","Piranhas","Piranhado"
"63","Spirit Walk","Jaunt"
"64","Horrify","Frightening Aspect"
"65","Locust Swarm","Pestilence"
"66","Soul Harvest","Siphon"
"67","Grave Injustice","Passive"
"68","Pierce the Veil","Passive"
"69","Creeping Death","Passive"
"70","Spirit Vessel","Passive"
"71","Plague of Toads","Rain of Toads"
"72","Fetish Army","Legion of Daggers"
"73","Spirit Walk","Jaunt"
"74","Summon Zombie Dogs","Life Link"
"75","Big Bad Voodoo","Slam Dance"
"76","Horrify","Stalker"
"77","Fierce Loyalty","Passive"
"78","Spirit Vessel","Passive"
"79","Gruesome Feast","Passive"
"80","Pierce the Veil","Passive"
"81","Locust Swarm","Pestilence"
"82","Haunt","Resentful Spirits"
"83","Spirit Walk","Jaunt"
"84","Soul Harvest","Siphon"
"85","Piranhas","Piranhado"
"86","Horrify","Stalker"
"87","Spirit Vessel","Passive"
"88","Grave Injustice","Passive"
"89","Pierce the Veil","Passive"
"90","Gruesome Feast","Passive"
"91","Haunt","Resentful Spirits"
"92","Spirit Walk","Jaunt"
"93","Soul Harvest","Siphon"
"94","Horrify","Frightening Aspect"
"95","Locust Swarm","Pestilence"
"96","Piranhas","Piranhado"
"97","Grave Injustice","Passive"
"98","Creeping Death","Passive"
"99","Spirit Vessel","Passive"
"100","Pierce the Veil","Passive"
"101","Plague of Toads","Rain of Toads"
"102","Horrify","Face of Death"
"103","Spirit Walk","Jaunt"
"104","Sacrifice","Provoke the Pack"
"105","Fetish Army","Legion of Daggers"
"106","Big Bad Voodoo","Slam Dance"
"107","Fierce Loyalty","Passive"
"108","Grave Injustice","Passive"
"109","Spirit Vessel","Passive"
"110","Pierce the Veil","Passive"
"111","Haunt","Resentful Spirits"
"112","Locust Swarm","Devouring Swarm"
"113","Horrify","Frightening Aspect"
"114","Spirit Walk","Jaunt"
"115","Soul Harvest","Languish"
"116","Piranhas","Piranhado"
"117","Spirit Vessel","Passive"
"118","Grave Injustice","Passive"
"119","Pierce the Veil","Passive"
"120","Creeping Death","Passive"
"121","Locust Swarm","Pestilence"
"122","Haunt","Resentful Spirits"
"123","Spirit Walk","Jaunt"
"124","Soul Harvest","Vengeful Spirit"
"125","Piranhas","Piranhado"
"126","Horrify","Frightening Aspect"
"127","Gruesome Feast","Passive"
"128","Grave Injustice","Passive"
"129","Creeping Death","Passive"
"130","Spirit Vessel","Passive"
"131","Piranhas","Piranhado"
"132","Horrify","Frightening Aspect"
"133","Mass Confusion","Paranoia"
"134","Fetish Army","Legion of Daggers"
"135","Big Bad Voodoo","Slam Dance"
"136","Spirit Walk","Jaunt"
"137","Tribal Rites","Passive"
"138","Jungle Fortitude","Passive"
"139","Zombie Handler","Passive"
"140","Spirit Vessel","Passive"
"141","Haunt","Resentful Spirits"
"142","Piranhas","Piranhado"
"143","Spirit Walk","Jaunt"
"144","Locust Swarm","Pestilence"
"145","Soul Harvest","Siphon"
"146","Horrify","Frightening Aspect"
"147","Grave Injustice","Passive"
"148","Creeping Death","Passive"
"149","Spirit Vessel","Passive"
"150","Pierce the Veil","Passive"
"151","Haunt","Resentful Spirits"
"152","Locust Swarm","Pestilence"
"153","Spirit Walk","Jaunt"
"154","Horrify","Frightening Aspect"
"155","Soul Harvest","Swallow Your Soul"
"156","Piranhas","Piranhado"
"157","Gruesome Feast","Passive"
"158","Spirit Vessel","Passive"
"159","Grave Injustice","Passive"
"160","Creeping Death","Passive"
"161","Plague of Toads","Rain of Toads"
"162","Piranhas","Frozen Piranhas"
"163","Spirit Walk","Jaunt"
"164","Big Bad Voodoo","Slam Dance"
"165","Fetish Army","Legion of Daggers"
"166","Summon Zombie Dogs","Rabid Dogs"
"167","Jungle Fortitude","Passive"
"168","Spirit Vessel","Passive"
"169","Fetish Sycophants","Passive"
"170","Midnight Feast","Passive"
"171","Haunt","Resentful Spirits"
"172","Locust Swarm","Pestilence"
"173","Spirit Walk","Jaunt"
"174","Soul Harvest","Vengeful Spirit"
"175","Horrify","Stalker"
"176","Piranhas","Piranhado"
"177","Pierce the Veil","Passive"
"178","Spirit Vessel","Passive"
"179","Grave Injustice","Passive"
"180","Creeping Death","Passive"
"181","Mass Confusion","Paranoia"
"182","Piranhas","Piranhado"
"183","Spirit Walk","Jaunt"
"184","Soul Harvest","Siphon"
"185","Haunt","Resentful Spirits"
"186","Horrify","Face of Death"
"187","Spirit Vessel","Passive"
"188","Grave Injustice","Passive"
"189","Pierce the Veil","Passive"
"190","Creeping Death","Passive"
"191","Haunt","Resentful Spirits"
"192","Piranhas","Piranhado"
"193","Spirit Walk","Jaunt"
"194","Horrify","Stalker"
"195","Locust Swarm","Devouring Swarm"
"196","Soul Harvest","Swallow Your Soul"
"197","Spirit Vessel","Passive"
"198","Creeping Death","Passive"
"199","Grave Injustice","Passive"
"200","Pierce the Veil","Passive"
"201","Haunt","Resentful Spirits"
"202","Locust Swarm","Pestilence"
"203","Spirit Walk","Jaunt"
"204","Horrify","Frightening Aspect"
"205","Piranhas","Piranhado"
"206","Soul Harvest","Swallow Your Soul"
"207","Pierce the Veil","Passive"
"208","Spirit Vessel","Passive"
"209","Grave Injustice","Passive"
"210","Creeping Death","Passive"
"211","Grasp of the Dead","Death Is Life"
"212","Sacrifice","Provoke the Pack"
"213","Fetish Army","Legion of Daggers"
"214","Big Bad Voodoo","Boogie Man"
"215","Summon Zombie Dogs","Final Gift"
"216","Spirit Walk","Jaunt"
"217","Grave Injustice","Passive"
"218","Gruesome Feast","Passive"
"219","Circle of Life","Passive"
"220","Spirit Vessel","Passive"
"221","Haunt","Resentful Spirits"
"222","Locust Swarm","Pestilence"
"223","Soul Harvest","Siphon"
"224","Spirit Walk","Jaunt"
"225","Piranhas","Piranhado"
"226","Horrify","Stalker"
"227","Pierce the Veil","Passive"
"228","Creeping Death","Passive"
"229","Gruesome Feast","Passive"
"230","Spirit Vessel","Passive"
"231","Sacrifice","Provoke the Pack"
"232","Horrify","Stalker"
"233","Spirit Walk","Jaunt"
"234","Fetish Army","Legion of Daggers"
"235","Plague of Toads","Rain of Toads"
"236","Big Bad Voodoo","Slam Dance"
"237","Pierce the Veil","Passive"
"238","Spirit Vessel","Passive"
"239","Fierce Loyalty","Passive"
"240","Fetish Sycophants","Passive"
"241","Plague of Toads","Rain of Toads"
"242","Sacrifice","Provoke the Pack"
"243","Spirit Walk","Healing Journey"
"244","Horrify","Stalker"
"245","Big Bad Voodoo","Boogie Man"
"246","Fetish Army","Legion of Daggers"
"247","Spirit Vessel","Passive"
"248","Fierce Loyalty","Passive"
"249","Fetish Sycophants","Passive"
"250","Pierce the Veil","Passive"
"251","Plague of Toads","Rain of Toads"
"252","Summon Zombie Dogs","Rabid Dogs"
"253","Gargantuan","Wrathful Protector"
"254","Fetish Army","Head Hunters"
"255","Spirit Walk","Jaunt"
"256","Big Bad Voodoo","Slam Dance"
"257","Pierce the Veil","Passive"
"258","Grave Injustice","Passive"
"259","Fetish Sycophants","Passive"
"260","Midnight Feast","Passive"
"261","Haunt","Resentful Spirits"
"262","Spirit Walk","Jaunt"
"263","Locust Swarm","Pestilence"
"264","Soul Harvest","Vengeful Spirit"
"265","Piranhas","Piranhado"
"266","Horrify","Stalker"
"267","Spirit Vessel","Passive"
"268","Pierce the Veil","Passive"
"269","Creeping Death","Passive"
"270","Grave Injustice","Passive"
"271","Poison Dart","Snake to the Face"
"272","Wall of Zombies","Wrecking Crew"
"273","Spirit Walk","Jaunt"
"274","Piranhas","Frozen Piranhas"
"275","Big Bad Voodoo","Slam Dance"
"276","Fetish Army","Legion of Daggers"
"277","Tribal Rites","Passive"
"278","Fetish Sycophants","Passive"
"279","Pierce the Veil","Passive"
"280","Jungle Fortitude","Passive"
"281","Haunt","Resentful Spirits"
"282","Locust Swarm","Pestilence"
"283","Horrify","Face of Death"
"284","Soul Harvest","Siphon"
"285","Spirit Walk","Jaunt"
"286","Piranhas","Piranhado"
"287","Creeping Death","Passive"
"288","Spirit Vessel","Passive"
"289","Grave Injustice","Passive"
"290","Pierce the Veil","Passive"
"291","Sacrifice","Provoke the Pack"
"292","Piranhas","Wave of Mutilation"
"293","Horrify","Face of Death"
"294","Big Bad Voodoo","Boogie Man"
"295","Spirit Walk","Jaunt"
"296","Fetish Army","Legion of Daggers"
"297","Spirit Vessel","Passive"
"298","Pierce the Veil","Passive"
"299","Fierce Loyalty","Passive"
"300","Tribal Rites","Passive"
"301","Haunt","Resentful Spirits"
"302","Locust Swarm","Pestilence"
"303","Spirit Walk","Jaunt"
"304","Horrify","Frightening Aspect"
"305","Soul Harvest","Siphon"
"306","Piranhas","Piranhado"
"307","Gruesome Feast","Passive"
"308","Creeping Death","Passive"
"309","Grave Injustice","Passive"
"310","Spirit Vessel","Passive"
"311","Locust Swarm","Pestilence"
"312","Haunt","Resentful Spirits"
"313","Piranhas","Piranhado"
"314","Spirit Walk","Jaunt"
"315","Soul Harvest","Siphon"
"316","Horrify","Face of Death"
"317","Spirit Vessel","Passive"
"318","Grave Injustice","Passive"
"319","Creeping Death","Passive"
"320","Pierce the Veil","Passive"
"321","Locust Swarm","Pestilence"
"322","Haunt","Resentful Spirits"
"323","Spirit Walk","Jaunt"
"324","Soul Harvest","Siphon"
"325","Piranhas","Piranhado"
"326","Horrify","Frightening Aspect"
"327","Creeping Death","Passive"
"328","Grave Injustice","Passive"
"329","Gruesome Feast","Passive"
"330","Spirit Vessel","Passive"
"331","Plague of Toads","Rain of Toads"
"332","Fetish Army","Legion of Daggers"
"333","Summon Zombie Dogs","Rabid Dogs"
"334","Big Bad Voodoo","Slam Dance"
"335","Spirit Walk","Jaunt"
"336","Piranhas","Piranhado"
"337","Pierce the Veil","Passive"
"338","Fetish Sycophants","Passive"
"339","Midnight Feast","Passive"
"340","Spirit Vessel","Passive"
"341","Plague of Toads","Addling Toads"
"342","Piranhas","Piranhado"
"343","Summon Zombie Dogs","Leeching Beasts"
"344","Gargantuan","Wrathful Protector"
"345","Spirit Walk","Jaunt"
"346","Big Bad Voodoo","Slam Dance"
"347","Grave Injustice","Passive"
"348","Pierce the Veil","Passive"
"349","Midnight Feast","Passive"
"350","Fierce Loyalty","Passive"
"351","Plague of Toads","Rain of Toads"
"352","Fetish Army","Legion of Daggers"
"353","Big Bad Voodoo","Slam Dance"
"354","Sacrifice","Provoke the Pack"
"355","Spirit Walk","Jaunt"
"356","Horrify","Face of Death"
"357","Spirit Vessel","Passive"
"358","Pierce the Veil","Passive"
"359","Fierce Loyalty","Passive"
"360","Fetish Sycophants","Passive"
"361","Haunt","Resentful Spirits"
"362","Spirit Walk","Jaunt"
"363","Locust Swarm","Pestilence"
"364","Horrify","Frightening Aspect"
"365","Soul Harvest","Siphon"
"366","Piranhas","Piranhado"
"367","Creeping Death","Passive"
"368","Gruesome Feast","Passive"
"369","Spirit Vessel","Passive"
"370","Grave Injustice","Passive"
"371","Poison Dart","Splinters"
"372","Piranhas","Piranhado"
"373","Spirit Walk","Jaunt"
"374","Fetish Army","Legion of Daggers"
"375","Big Bad Voodoo","Slam Dance"
"376","Horrify","Frightening Aspect"
"377","Pierce the Veil","Passive"
"378","Fetish Sycophants","Passive"
"379","Jungle Fortitude","Passive"
"380","Grave Injustice","Passive"
"381","Haunt","Resentful Spirits"
"382","Piranhas","Piranhado"
"383","Spirit Walk","Jaunt"
"384","Soul Harvest","Siphon"
"385","Horrify","Ruthless Terror"
"386","Locust Swarm","Pestilence"
"387","Creeping Death","Passive"
"388","Grave Injustice","Passive"
"389","Gruesome Feast","Passive"
"390","Spirit Vessel","Passive"
"391","Big Bad Voodoo","Slam Dance"
"392","Fetish Army","Head Hunters"
"393","Horrify","Face of Death"
"394","Piranhas","Piranhado"
"395","Mass Confusion","Paranoia"
"396","Spirit Walk","Jaunt"
"397","Tribal Rites","Passive"
"398","Spirit Vessel","Passive"
"399","Jungle Fortitude","Passive"
"400","Creeping Death","Passive"
"401","Locust Swarm","Pestilence"
"402","Haunt","Resentful Spirits"
"403","Summon Zombie Dogs","Final Gift"
"404","Soul Harvest","Siphon"
"405","Spirit Walk","Jaunt"
"406","Horrify","Stalker"
"407","Spirit Vessel","Passive"
"408","Fierce Loyalty","Passive"
"409","Creeping Death","Passive"
"410","Grave Injustice","Passive"
"411","Plague of Toads","Rain of Toads"
"412","Summon Zombie Dogs","Final Gift"
"413","Sacrifice","Provoke the Pack"
"414","Fetish Army","Legion of Daggers"
"415","Big Bad Voodoo","Slam Dance"
"416","Horrify","Face of Death"
"417","Pierce the Veil","Passive"
"418","Spirit Vessel","Passive"
"419","Gruesome Feast","Passive"
"420","Fetish Sycophants","Passive"
"421","Haunt","Resentful Spirits"
"422","Locust Swarm","Pestilence"
"423","Piranhas","Piranhado"
"424","Soul Harvest","Siphon"
"425","Spirit Walk","Jaunt"
"426","Horrify","Frightening Aspect"
"427","Grave Injustice","Passive"
"428","Creeping Death","Passive"
"429","Spirit Vessel","Passive"
"430","Pierce the Veil","Passive"
"431","Haunt","Resentful Spirits"
"432","Locust Swarm","Pestilence"
"433","Spirit Walk","Jaunt"
"434","Soul Harvest","Siphon"
"435","Piranhas","Piranhado"
"436","Horrify","Frightening Aspect"
"437","Spirit Vessel","Passive"
"438","Pierce the Veil","Passive"
"439","Grave Injustice","Passive"
"440","Creeping Death","Passive"
"441","Haunt","Resentful Spirits"
"442","Locust Swarm","Pestilence"
"443","Spirit Walk","Jaunt"
"444","Piranhas","Piranhado"
"445","Horrify","Face of Death"
"446","Soul Harvest","Siphon"
"447","Pierce the Veil","Passive"
"448","Grave Injustice","Passive"
"449","Spirit Vessel","Passive"
"450","Gruesome Feast","Passive"
"451","Plague of Toads","Rain of Toads"
"452","Horrify","Face of Death"
"453","Fetish Army","Legion of Daggers"
"454","Sacrifice","Provoke the Pack"
"455","Spirit Walk","Jaunt"
"456","Big Bad Voodoo","Slam Dance"
"457","Fetish Sycophants","Passive"
"458","Spirit Vessel","Passive"
"459","Pierce the Veil","Passive"
"460","Gruesome Feast","Passive"
"461","Fetish Army","Legion of Daggers"
"462","Mass Confusion","Paranoia"
"463","Horrify","Face of Death"
"464","Spirit Walk","Jaunt"
"465","Piranhas","Piranhado"
"466","Big Bad Voodoo","Slam Dance"
"467","Creeping Death","Passive"
"468","Tribal Rites","Passive"
"469","Spirit Vessel","Passive"
"470","Jungle Fortitude","Passive"
"471","Haunt","Resentful Spirits"
"472","Locust Swarm","Searing Locusts"
"473","Spirit Walk","Jaunt"
"474","Soul Harvest","Siphon"
"475","Piranhas","Piranhado"
"476","Horrify","Stalker"
"477","Pierce the Veil","Passive"
"478","Grave Injustice","Passive"
"479","Gruesome Feast","Passive"
"480","Creeping Death","Passive"
"481","Plague of Toads","Rain of Toads"
"482","Acid Cloud","Lob Blob Bomb"
"483","Piranhas","Zombie Piranhas"
"484","Summon Zombie Dogs","Rabid Dogs"
"485","Big Bad Voodoo","Slam Dance"
"486","Fetish Army","Head Hunters"
"487","Fierce Loyalty","Passive"
"488","Pierce the Veil","Passive"
"489","Midnight Feast","Passive"
"490","Fetish Sycophants","Passive"
"491","Haunt","Resentful Spirits"
"492","Piranhas","Piranhado"
"493","Locust Swarm","Pestilence"
"494","Soul Harvest","Siphon"
"495","Spirit Walk","Jaunt"
"496","Horrify","Frightening Aspect"
"497","Grave Injustice","Passive"
"498","Creeping Death","Passive"
"499","Gruesome Feast","Passive"
"500","Spirit Vessel","Passive"
"501","Mass Confusion","Paranoia"
"502","Piranhas","Piranhado"
"503","Fetish Army","Legion of Daggers"
"504","Spirit Walk","Jaunt"
"505","Big Bad Voodoo","Slam Dance"
"506","Horrify","Face of Death"
"507","Jungle Fortitude","Passive"
"508","Creeping Death","Passive"
"509","Spirit Vessel","Passive"
"510","Tribal Rites","Passive"
"511","Locust Swarm","Pestilence"
"512","Haunt","Resentful Spirits"
"513","Hex","Angry Chicken"
"514","Horrify","Stalker"
"515","Spirit Walk","Jaunt"
"516","Soul Harvest","Siphon"
"517","Grave Injustice","Passive"
"518","Gruesome Feast","Passive"
"519","Pierce the Veil","Passive"
"520","Spirit Vessel","Passive"
"521","Big Bad Voodoo","Slam Dance"
"522","Piranhas","Piranhado"
"523","Spirit Walk","Jaunt"
"524","Summon Zombie Dogs","Leeching Beasts"
"525","Horrify","Face of Death"
"526","Fetish Army","Legion of Daggers"
"527","Jungle Fortitude","Passive"
"528","Zombie Handler","Passive"
"529","Tribal Rites","Passive"
"530","Spirit Vessel","Passive"
"531","Haunt","Resentful Spirits"
"532","Locust Swarm","Diseased Swarm"
"533","Horrify","Ruthless Terror"
"534","Soul Harvest","Siphon"
"535","Piranhas","Piranhado"
"536","Spirit Walk","Jaunt"
"537","Spirit Vessel","Passive"
"538","Grave Injustice","Passive"
"539","Creeping Death","Passive"
"540","Pierce the Veil","Passive"
"541","Plague of Toads","Rain of Toads"
"542","Fetish Army","Legion of Daggers"
"543","Spirit Walk","Jaunt"
"544","Big Bad Voodoo","Slam Dance"
"545","Horrify","Face of Death"
"546","Sacrifice","Provoke the Pack"
"547","Fetish Sycophants","Passive"
"548","Gruesome Feast","Passive"
"549","Spirit Vessel","Passive"
"550","Pierce the Veil","Passive"
"551","Plague of Toads","Rain of Toads"
"552","Spirit Walk","Jaunt"
"553","Sacrifice","Provoke the Pack"
"554","Horrify","Face of Death"
"555","Fetish Army","Legion of Daggers"
"556","Big Bad Voodoo","Slam Dance"
"557","Spirit Vessel","Passive"
"558","Fierce Loyalty","Passive"
"559","Fetish Sycophants","Passive"
"560","Pierce the Veil","Passive"
"561","Haunt","Resentful Spirits"
"562","Locust Swarm","Pestilence"
"563","Piranhas","Piranhado"
"564","Horrify","Face of Death"
"565","Spirit Walk","Honored Guest"
"566","Soul Harvest","Siphon"
"567","Spirit Vessel","Passive"
"568","Pierce the Veil","Passive"
"569","Creeping Death","Passive"
"570","Grave Injustice","Passive"
"571","Plague of Toads","Rain of Toads"
"572","Horrify","Face of Death"
"573","Sacrifice","Provoke the Pack"
"574","Spirit Walk","Jaunt"
"575","Fetish Army","Legion of Daggers"
"576","Big Bad Voodoo","Slam Dance"
"577","Spirit Vessel","Passive"
"578","Gruesome Feast","Passive"
"579","Pierce the Veil","Passive"
"580","Fetish Sycophants","Passive"
"581","Haunt","Resentful Spirits"
"582","Locust Swarm","Pestilence"
"583","Spirit Walk","Jaunt"
"584","Soul Harvest","Swallow Your Soul"
"585","Horrify","Face of Death"
"586","Piranhas","Piranhado"
"587","Spirit Vessel","Passive"
"588","Pierce the Veil","Passive"
"589","Grave Injustice","Passive"
"590","Creeping Death","Passive"
"591","Haunt","Resentful Spirits"
"592","Locust Swarm","Pestilence"
"593","Horrify","Stalker"
"594","Soul Harvest","Siphon"
"595","Spirit Walk","Jaunt"
"596","Piranhas","Piranhado"
"597","Pierce the Veil","Passive"
"598","Gruesome Feast","Passive"
"599","Spirit Vessel","Passive"
"600","Grave Injustice","Passive"
"601","Big Bad Voodoo","Slam Dance"
"602","Plague of Toads","Rain of Toads"
"603","Spirit Walk","Jaunt"
"604","Sacrifice","Provoke the Pack"
"605","Fetish Army","Legion of Daggers"
"606","Horrify","Face of Death"
"607","Gruesome Feast","Passive"
"608","Spirit Vessel","Passive"
"609","Fierce Loyalty","Passive"
"610","Fetish Sycophants","Passive"
"611","Plague of Toads","Rain of Toads"
"612","Sacrifice","Provoke the Pack"
"613","Horrify","Face of Death"
"614","Summon Zombie Dogs","Final Gift"
"615","Big Bad Voodoo","Slam Dance"
"616","Fetish Army","Legion of Daggers"
"617","Gruesome Feast","Passive"
"618","Pierce the Veil","Passive"
"619","Spirit Vessel","Passive"
"620","Fierce Loyalty","Passive"
"621","Piranhas","Piranhado"
"622","Big Bad Voodoo","Slam Dance"
"623","Mass Confusion","Paranoia"
"624","Hex","Jinx"
"625","Spirit Walk","Jaunt"
"626","Horrify","Frightening Aspect"
"627","Spirit Vessel","Passive"
"628","Zombie Handler","Passive"
"629","Grave Injustice","Passive"
"630","Fierce Loyalty","Passive"
"631","Haunt","Resentful Spirits"
"632","Spirit Walk","Jaunt"
"633","Soul Harvest","Siphon"
"634","Piranhas","Piranhado"
"635","Locust Swarm","Pestilence"
"636","Horrify","Frightening Aspect"
"637","Grave Injustice","Passive"
"638","Spirit Vessel","Passive"
"639","Creeping Death","Passive"
"640","Pierce the Veil","Passive"
"641","Haunt","Resentful Spirits"
"642","Locust Swarm","Pestilence"
"643","Spirit Walk","Jaunt"
"644","Horrify","Stalker"
"645","Piranhas","Piranhado"
"646","Soul Harvest","Siphon"
"647","Spirit Vessel","Passive"
"648","Grave Injustice","Passive"
"649","Creeping Death","Passive"
"650","Pierce the Veil","Passive"
"651","Plague of Toads","Rain of Toads"
"652","Summon Zombie Dogs","Final Gift"
"653","Sacrifice","Provoke the Pack"
"654","Horrify","Face of Death"
"655","Fetish Army","Legion of Daggers"
"656","Big Bad Voodoo","Slam Dance"
"657","Spirit Vessel","Passive"
"658","Pierce the Veil","Passive"
"659","Fetish Sycophants","Passive"
"660","Gruesome Feast","Passive"
"661","Mass Confusion","Paranoia"
"662","Horrify","Face of Death"
"663","Fetish Army","Head Hunters"
"664","Spirit Walk","Jaunt"
"665","Piranhas","Piranhado"
"666","Big Bad Voodoo","Slam Dance"
"667","Tribal Rites","Passive"
"668","Grave Injustice","Passive"
"669","Creeping Death","Passive"
"670","Spirit Vessel","Passive"
"671","Plague of Toads","Rain of Toads"
"672","Horrify","Face of Death"
"673","Fetish Army","Legion of Daggers"
"674","Sacrifice","Provoke the Pack"
"675","Spirit Walk","Jaunt"
"676","Big Bad Voodoo","Slam Dance"
"677","Fetish Sycophants","Passive"
"678","Pierce the Veil","Passive"
"679","Zombie Handler","Passive"
"680","Spirit Vessel","Passive"
"681","Haunt","Resentful Spirits"
"682","Horrify","Face of Death"
"683","Locust Swarm","Devouring Swarm"
"684","Piranhas","Piranhado"
"685","Spirit Walk","Jaunt"
"686","Soul Harvest","Siphon"
"687","Spirit Vessel","Passive"
"688","Creeping Death","Passive"
"689","Gruesome Feast","Passive"
"690","Pierce the Veil","Passive"
"691","Mass Confusion","Paranoia"
"692","Fetish Army","Legion of Daggers"
"693","Spirit Walk","Jaunt"
"694","Horrify","Face of Death"
"695","Piranhas","Piranhado"
"696","Big Bad Voodoo","Slam Dance"
"697","Tribal Rites","Passive"
"698","Spirit Vessel","Passive"
"699","Grave Injustice","Passive"
"700","Creeping Death","Passive"
"701","Haunt","Resentful Spirits"
"702","Piranhas","Piranhado"
"703","Locust Swarm","Pestilence"
"704","Spirit Walk","Jaunt"
"705","Horrify","Face of Death"
"706","Soul Harvest","Siphon"
"707","Grave Injustice","Passive"
"708","Creeping Death","Passive"
"709","Spirit Vessel","Passive"
"710","Gruesome Feast","Passive"
"711","Plague of Toads","Rain of Toads"
"712","Spirit Walk","Jaunt"
"713","Piranhas","Piranhado"
"714","Fetish Army","Legion of Daggers"
"715","Big Bad Voodoo","Slam Dance"
"716","Summon Zombie Dogs","Life Link"
"717","Gruesome Feast","Passive"
"718","Grave Injustice","Passive"
"719","Pierce the Veil","Passive"
"720","Fetish Sycophants","Passive"
"721","Fetish Army","Head Hunters"
"722","Piranhas","Piranhado"
"723","Horrify","Face of Death"
"724","Spirit Walk","Jaunt"
"725","Mass Confusion","Paranoia"
"726","Big Bad Voodoo","Slam Dance"
"727","Creeping Death","Passive"
"728","Spirit Vessel","Passive"
"729","Grave Injustice","Passive"
"730","Jungle Fortitude","Passive"
"731","Piranhas","Piranhado"
"732","Haunt","Resentful Spirits"
"733","Soul Harvest","Languish"
"734","Spirit Walk","Jaunt"
"735","Horrify","Face of Death"
"736","Locust Swarm","Pestilence"
"737","Grave Injustice","Passive"
"738","Pierce the Veil","Passive"
"739","Creeping Death","Passive"
"740","Spirit Vessel","Passive"
"741","Poison Dart","Splinters"
"742","Acid Cloud","Acid Rain"
"743","Big Bad Voodoo","Slam Dance"
"744","Fetish Army","Legion of Daggers"
"745","Soul Harvest","Siphon"
"746","Spirit Walk","Jaunt"
"747","Tribal Rites","Passive"
"748","Fetish Sycophants","Passive"
"749","Jungle Fortitude","Passive"
"750","Pierce the Veil","Passive"
"751","Plague of Toads","Rain of Toads"
"752","Fetish Army","Legion of Daggers"
"753","Spirit Walk","Jaunt"
"754","Sacrifice","Provoke the Pack"
"755","Big Bad Voodoo","Slam Dance"
"756","Horrify","Face of Death"
"757","Spirit Vessel","Passive"
"758","Fetish Sycophants","Passive"
"759","Pierce the Veil","Passive"
"760","Gruesome Feast","Passive"
"761","Sacrifice","Provoke the Pack"
"762","Plague of Toads","Rain of Toads"
"763","Spirit Walk","Jaunt"
"764","Horrify","Face of Death"
"765","Fetish Army","Legion of Daggers"
"766","Big Bad Voodoo","Slam Dance"
"767","Spirit Vessel","Passive"
"768","Gruesome Feast","Passive"
"769","Fetish Sycophants","Passive"
"770","Pierce the Veil","Passive"
"771","Big Bad Voodoo","Slam Dance"
"772","Fetish Army","Legion of Daggers"
"773","Piranhas","Wave of Mutilation"
"774","Spirit Walk","Jaunt"
"775","Horrify","Face of Death"
"776","Mass Confusion","Paranoia"
"777","Grave Injustice","Passive"
"778","Tribal Rites","Passive"
"779","Jungle Fortitude","Passive"
"780","Spirit Vessel","Passive"
"781","Plague of Toads","Rain of Toads"
"782","Summon Zombie Dogs","Rabid Dogs"
"783","Big Bad Voodoo","Slam Dance"
"784","Fetish Army","Legion of Daggers"
"785","Spirit Walk","Jaunt"
"786","Piranhas","Wave of Mutilation"
"787","Spirit Vessel","Passive"
"788","Pierce the Veil","Passive"
"789","Fetish Sycophants","Passive"
"790","Midnight Feast","Passive"
"791","Haunt","Resentful Spirits"
"792","Piranhas","Piranhado"
