"","Spell","Rune"
"1","Haunt","Poisoned Spirit"
"2","Piranhas","Piranhado"
"3","Spirit Walk","Jaunt"
"4","Soul Harvest","Siphon"
"5","Locust Swarm","Pestilence"
"6","Horrify","Face of Death"
"7","Gruesome Feast","Passive"
"8","Pierce the Veil","Passive"
"9","Spirit Vessel","Passive"
"10","Grave Injustice","Passive"
"11","Locust Swarm","Pestilence"
"12","Haunt","Poisoned Spirit"
"13","Piranhas","Piranhado"
"14","Horrify","Stalker"
"15","Spirit Walk","Jaunt"
"16","Soul Harvest","Siphon"
"17","Pierce the Veil","Passive"
"18","Gruesome Feast","Passive"
"19","Spirit Vessel","Passive"
"20","Creeping Death","Passive"
"21","Haunt","Poisoned Spirit"
"22","Locust Swarm","Pestilence"
"23","Soul Harvest","Siphon"
"24","Spirit Walk","Jaunt"
"25","Piranhas","Piranhado"
"26","Horrify","Stalker"
"27","Pierce the Veil","Passive"
"28","Creeping Death","Passive"
"29","Gruesome Feast","Passive"
"30","Spirit Vessel","Passive"
"31","Poison Dart","Splinters"
"32","Piranhas","Piranhado"
"33","Spirit Walk","Jaunt"
"34","Fetish Army","Legion of Daggers"
"35","Horrify","Stalker"
"36","Big Bad Voodoo","Slam Dance"
"37","Pierce the Veil","Passive"
"38","Fierce Loyalty","Passive"
"39","Fetish Sycophants","Passive"
"40","Grave Injustice","Passive"
"41","Locust Swarm","Pestilence"
"42","Haunt","Poisoned Spirit"
"43","Spirit Walk","Jaunt"
"44","Soul Harvest","Siphon"
"45","Piranhas","Piranhado"
"46","Horrify","Ruthless Terror"
"47","Spirit Vessel","Passive"
"48","Grave Injustice","Passive"
"49","Pierce the Veil","Passive"
"50","Gruesome Feast","Passive"
"51","Fetish Army","Legion of Daggers"
"52","Mass Confusion","Paranoia"
"53","Spirit Walk","Jaunt"
"54","Horrify","Face of Death"
"55","Big Bad Voodoo","Slam Dance"
"56","Piranhas","Piranhado"
"57","Jungle Fortitude","Passive"
"58","Spirit Vessel","Passive"
"59","Grave Injustice","Passive"
"60","Tribal Rites","Passive"
"61","Haunt","Poisoned Spirit"
"62","Locust Swarm","Pestilence"
"63","Spirit Walk","Jaunt"
"64","Horrify","Stalker"
"65","Piranhas","Piranhado"
"66","Soul Harvest","Siphon"
"67","Gruesome Feast","Passive"
"68","Spirit Vessel","Passive"
"69","Creeping Death","Passive"
"70","Grave Injustice","Passive"
"71","Poison Dart","Snake to the Face"
"72","Piranhas","Piranhado"
"73","Summon Zombie Dogs","Life Link"
"74","Horrify","Stalker"
"75","Fetish Army","Legion of Daggers"
"76","Spirit Walk","Jaunt"
"77","Fetish Sycophants","Passive"
"78","Pierce the Veil","Passive"
"79","Fierce Loyalty","Passive"
"80","Spirit Vessel","Passive"
"81","Haunt","Poisoned Spirit"
"82","Locust Swarm","Pestilence"
"83","Spirit Walk","Jaunt"
"84","Soul Harvest","Siphon"
"85","Piranhas","Piranhado"
"86","Horrify","Face of Death"
"87","Grave Injustice","Passive"
"88","Spirit Vessel","Passive"
"89","Creeping Death","Passive"
"90","Pierce the Veil","Passive"
"91","Haunt","Poisoned Spirit"
"92","Spirit Walk","Jaunt"
"93","Soul Harvest","Swallow Your Soul"
"94","Piranhas","Piranhado"
"95","Locust Swarm","Pestilence"
"96","Horrify","Stalker"
"97","Creeping Death","Passive"
"98","Spirit Vessel","Passive"
"99","Grave Injustice","Passive"
"100","Gruesome Feast","Passive"
"101","Haunt","Lingering Spirit"
"102","Locust Swarm","Pestilence"
"103","Soul Harvest","Vengeful Spirit"
"104","Piranhas","Piranhado"
"105","Spirit Walk","Jaunt"
"106","Horrify","Face of Death"
"107","Spirit Vessel","Passive"
"108","Jungle Fortitude","Passive"
"109","Creeping Death","Passive"
"110","Grave Injustice","Passive"
"111","Plague of Toads","Rain of Toads"
"112","Horrify","Face of Death"
"113","Spirit Walk","Jaunt"
"114","Sacrifice","Provoke the Pack"
"115","Fetish Army","Legion of Daggers"
"116","Big Bad Voodoo","Slam Dance"
"117","Spirit Vessel","Passive"
"118","Gruesome Feast","Passive"
"119","Fierce Loyalty","Passive"
"120","Pierce the Veil","Passive"
"121","Piranhas","Piranhado"
"122","Haunt","Poisoned Spirit"
"123","Soul Harvest","Swallow Your Soul"
"124","Spirit Walk","Jaunt"
"125","Horrify","Stalker"
"126","Locust Swarm","Pestilence"
"127","Grave Injustice","Passive"
"128","Pierce the Veil","Passive"
"129","Jungle Fortitude","Passive"
"130","Spirit Vessel","Passive"
"131","Haunt","Poisoned Spirit"
"132","Piranhas","Piranhado"
"133","Spirit Walk","Jaunt"
"134","Horrify","Ruthless Terror"
"135","Locust Swarm","Pestilence"
"136","Soul Harvest","Siphon"
"137","Grave Injustice","Passive"
"138","Gruesome Feast","Passive"
"139","Creeping Death","Passive"
"140","Spirit Vessel","Passive"
"141","Haunt","Poisoned Spirit"
"142","Spirit Walk","Jaunt"
"143","Locust Swarm","Pestilence"
"144","Soul Harvest","Vengeful Spirit"
"145","Piranhas","Piranhado"
"146","Horrify","Face of Death"
"147","Spirit Vessel","Passive"
"148","Pierce the Veil","Passive"
"149","Creeping Death","Passive"
"150","Grave Injustice","Passive"
"151","Haunt","Resentful Spirits"
"152","Locust Swarm","Pestilence"
"153","Horrify","Stalker"
"154","Soul Harvest","Siphon"
"155","Piranhas","Piranhado"
"156","Spirit Walk","Jaunt"
"157","Spirit Vessel","Passive"
"158","Grave Injustice","Passive"
"159","Creeping Death","Passive"
"160","Gruesome Feast","Passive"
"161","Plague of Toads","Rain of Toads"
"162","Sacrifice","Provoke the Pack"
"163","Big Bad Voodoo","Slam Dance"
"164","Fetish Army","Legion of Daggers"
"165","Horrify","Frightening Aspect"
"166","Spirit Walk","Jaunt"
"167","Gruesome Feast","Passive"
"168","Fetish Sycophants","Passive"
"169","Pierce the Veil","Passive"
"170","Spirit Vessel","Passive"
"171","Haunt","Poisoned Spirit"
"172","Horrify","Face of Death"
"173","Spirit Walk","Jaunt"
"174","Piranhas","Piranhado"
"175","Big Bad Voodoo","Slam Dance"
"176","Fetish Army","Tiki Torchers"
"177","Jungle Fortitude","Passive"
"178","Spirit Vessel","Passive"
"179","Grave Injustice","Passive"
"180","Creeping Death","Passive"
"181","Plague of Toads","Rain of Toads"
"182","Sacrifice","Provoke the Pack"
"183","Horrify","Face of Death"
"184","Spirit Walk","Jaunt"
"185","Fetish Army","Legion of Daggers"
"186","Big Bad Voodoo","Slam Dance"
"187","Fetish Sycophants","Passive"
"188","Spirit Vessel","Passive"
"189","Fierce Loyalty","Passive"
"190","Pierce the Veil","Passive"
"191","Fetish Army","Tiki Torchers"
"192","Piranhas","Piranhado"
"193","Horrify","Face of Death"
"194","Mass Confusion","Paranoia"
"195","Big Bad Voodoo","Slam Dance"
"196","Spirit Walk","Jaunt"
"197","Spirit Vessel","Passive"
"198","Zombie Handler","Passive"
"199","Tribal Rites","Passive"
"200","Jungle Fortitude","Passive"
"201","Locust Swarm","Pestilence"
"202","Haunt","Resentful Spirits"
"203","Summon Zombie Dogs","Life Link"
"204","Soul Harvest","Swallow Your Soul"
"205","Spirit Walk","Jaunt"
"206","Horrify","Stalker"
"207","Fierce Loyalty","Passive"
"208","Spirit Vessel","Passive"
"209","Creeping Death","Passive"
"210","Grave Injustice","Passive"
"211","Locust Swarm","Pestilence"
"212","Haunt","Lingering Spirit"
"213","Spirit Walk","Jaunt"
"214","Horrify","Stalker"
"215","Piranhas","Piranhado"
"216","Soul Harvest","Siphon"
"217","Spirit Vessel","Passive"
"218","Grave Injustice","Passive"
"219","Gruesome Feast","Passive"
"220","Creeping Death","Passive"
"221","Locust Swarm","Pestilence"
"222","Spirit Walk","Jaunt"
"223","Horrify","Stalker"
"224","Piranhas","Piranhado"
"225","Soul Harvest","Siphon"
"226","Haunt","Poisoned Spirit"
"227","Creeping Death","Passive"
"228","Pierce the Veil","Passive"
"229","Spirit Vessel","Passive"
"230","Grave Injustice","Passive"
"231","Mass Confusion","Paranoia"
"232","Spirit Walk","Jaunt"
"233","Horrify","Face of Death"
"234","Big Bad Voodoo","Slam Dance"
"235","Piranhas","Piranhado"
"236","Fetish Army","Head Hunters"
"237","Spirit Vessel","Passive"
"238","Tribal Rites","Passive"
"239","Creeping Death","Passive"
"240","Grave Injustice","Passive"
"241","Fetish Army","Head Hunters"
"242","Piranhas","Piranhado"
"243","Spirit Walk","Jaunt"
"244","Big Bad Voodoo","Slam Dance"
"245","Horrify","Face of Death"
"246","Haunt","Poisoned Spirit"
"247","Tribal Rites","Passive"
"248","Spirit Vessel","Passive"
"249","Creeping Death","Passive"
"250","Grave Injustice","Passive"
"251","Haunt","Lingering Spirit"
"252","Locust Swarm","Pestilence"
"253","Piranhas","Piranhado"
"254","Spirit Walk","Jaunt"
"255","Horrify","Face of Death"
"256","Soul Harvest","Siphon"
"257","Grave Injustice","Passive"
"258","Spirit Vessel","Passive"
"259","Creeping Death","Passive"
"260","Pierce the Veil","Passive"
"261","Fetish Army","Legion of Daggers"
"262","Corpse Spiders","Blazing Spiders"
"263","Horrify","Face of Death"
"264","Sacrifice","Provoke the Pack"
"265","Spirit Walk","Jaunt"
"266","Big Bad Voodoo","Slam Dance"
"267","Spirit Vessel","Passive"
"268","Gruesome Feast","Passive"
"269","Pierce the Veil","Passive"
"270","Fetish Sycophants","Passive"
"271","Sacrifice","Next of Kin"
"272","Horrify","Face of Death"
"273","Spirit Walk","Jaunt"
"274","Fetish Army","Legion of Daggers"
"275","Big Bad Voodoo","Slam Dance"
"276","Summon Zombie Dogs","Final Gift"
"277","Grave Injustice","Passive"
"278","Circle of Life","Passive"
"279","Spirit Vessel","Passive"
"280","Tribal Rites","Passive"
"281","Locust Swarm","Pestilence"
"282","Haunt","Resentful Spirits"
"283","Spirit Walk","Jaunt"
"284","Soul Harvest","Siphon"
"285","Piranhas","Piranhado"
"286","Horrify","Stalker"
"287","Creeping Death","Passive"
"288","Grave Injustice","Passive"
"289","Pierce the Veil","Passive"
"290","Spirit Vessel","Passive"
"291","Plague of Toads","Rain of Toads"
"292","Haunt","Poisoned Spirit"
"293","Spirit Walk","Jaunt"
"294","Horrify","Face of Death"
"295","Big Bad Voodoo","Slam Dance"
"296","Fetish Army","Legion of Daggers"
"297","Pierce the Veil","Passive"
"298","Fetish Sycophants","Passive"
"299","Spirit Vessel","Passive"
"300","Gruesome Feast","Passive"
"301","Piranhas","Piranhado"
"302","Big Bad Voodoo","Slam Dance"
"303","Haunt","Poisoned Spirit"
"304","Spirit Walk","Jaunt"
"305","Mass Confusion","Paranoia"
"306","Horrify","Face of Death"
"307","Spirit Vessel","Passive"
"308","Grave Injustice","Passive"
"309","Jungle Fortitude","Passive"
"310","Tribal Rites","Passive"
"311","Plague of Toads","Rain of Toads"
"312","Horrify","Face of Death"
"313","Fetish Army","Legion of Daggers"
"314","Sacrifice","Provoke the Pack"
"315","Spirit Walk","Jaunt"
"316","Big Bad Voodoo","Slam Dance"
"317","Spirit Vessel","Passive"
"318","Fetish Sycophants","Passive"
"319","Pierce the Veil","Passive"
"320","Gruesome Feast","Passive"
"321","Plague of Toads","Rain of Toads"
"322","Sacrifice","Provoke the Pack"
"323","Spirit Walk","Healing Journey"
"324","Horrify","Face of Death"
"325","Big Bad Voodoo","Slam Dance"
"326","Fetish Army","Legion of Daggers"
"327","Spirit Vessel","Passive"
"328","Gruesome Feast","Passive"
"329","Fetish Sycophants","Passive"
"330","Pierce the Veil","Passive"
"331","Plague of Toads","Rain of Toads"
"332","Piranhas","Piranhado"
"333","Spirit Walk","Jaunt"
"334","Summon Zombie Dogs","Burning Dogs"
"335","Fetish Army","Tiki Torchers"
"336","Big Bad Voodoo","Slam Dance"
"337","Grave Injustice","Passive"
"338","Gruesome Feast","Passive"
"339","Fierce Loyalty","Passive"
"340","Midnight Feast","Passive"
"341","Plague of Toads","Rain of Toads"
"342","Piranhas","Piranhado"
"343","Spirit Walk","Jaunt"
"344","Haunt","Poisoned Spirit"
"345","Horrify","Face of Death"
"346","Big Bad Voodoo","Slam Dance"
"347","Grave Injustice","Passive"
"348","Tribal Rites","Passive"
"349","Spirit Vessel","Passive"
"350","Creeping Death","Passive"
"351","Haunt","Poisoned Spirit"
"352","Piranhas","Piranhado"
"353","Spirit Walk","Jaunt"
"354","Horrify","Frightening Aspect"
"355","Locust Swarm","Pestilence"
"356","Soul Harvest","Swallow Your Soul"
"357","Spirit Vessel","Passive"
"358","Creeping Death","Passive"
"359","Grave Injustice","Passive"
"360","Pierce the Veil","Passive"
"361","Mass Confusion","Paranoia"
"362","Piranhas","Piranhado"
"363","Fetish Army","Legion of Daggers"
"364","Horrify","Face of Death"
"365","Spirit Walk","Jaunt"
"366","Big Bad Voodoo","Slam Dance"
"367","Spirit Vessel","Passive"
"368","Tribal Rites","Passive"
"369","Creeping Death","Passive"
"370","Grave Injustice","Passive"
"371","Haunt","Poisoned Spirit"
"372","Locust Swarm","Pestilence"
"373","Piranhas","Piranhado"
"374","Soul Harvest","Siphon"
"375","Spirit Walk","Jaunt"
"376","Horrify","Face of Death"
"377","Creeping Death","Passive"
"378","Spirit Vessel","Passive"
"379","Pierce the Veil","Passive"
"380","Grave Injustice","Passive"
"381","Fetish Army","Head Hunters"
"382","Piranhas","Piranhado"
"383","Spirit Walk","Jaunt"
"384","Haunt","Poisoned Spirit"
"385","Big Bad Voodoo","Slam Dance"
"386","Horrify","Face of Death"
"387","Grave Injustice","Passive"
"388","Tribal Rites","Passive"
"389","Spirit Vessel","Passive"
"390","Creeping Death","Passive"
"391","Haunt","Resentful Spirits"
"392","Locust Swarm","Pestilence"
"393","Piranhas","Piranhado"
"394","Soul Harvest","Siphon"
"395","Spirit Walk","Jaunt"
"396","Horrify","Stalker"
"397","Grave Injustice","Passive"
"398","Pierce the Veil","Passive"
"399","Creeping Death","Passive"
"400","Spirit Vessel","Passive"
"401","Mass Confusion","Paranoia"
"402","Horrify","Face of Death"
"403","Spirit Walk","Jaunt"
"404","Big Bad Voodoo","Slam Dance"
"405","Piranhas","Piranhado"
"406","Fetish Army","Head Hunters"
"407","Creeping Death","Passive"
"408","Physical Attunement","Passive"
"409","Jungle Fortitude","Passive"
"410","Spirit Vessel","Passive"
"411","Haunt","Poisoned Spirit"
"412","Locust Swarm","Pestilence"
"413","Spirit Walk","Jaunt"
"414","Soul Harvest","Siphon"
"415","Horrify","Face of Death"
"416","Piranhas","Piranhado"
"417","Gruesome Feast","Passive"
"418","Grave Injustice","Passive"
"419","Spirit Vessel","Passive"
"420","Creeping Death","Passive"
"421","Haunt","Poisoned Spirit"
"422","Locust Swarm","Pestilence"
"423","Spirit Walk","Jaunt"
"424","Soul Harvest","Vengeful Spirit"
"425","Piranhas","Piranhado"
"426","Horrify","Face of Death"
"427","Spirit Vessel","Passive"
"428","Grave Injustice","Passive"
"429","Pierce the Veil","Passive"
"430","Creeping Death","Passive"
"431","Haunt","Resentful Spirits"
"432","Locust Swarm","Devouring Swarm"
"433","Spirit Walk","Jaunt"
"434","Soul Harvest","Siphon"
"435","Piranhas","Piranhado"
"436","Horrify","Frightening Aspect"
"437","Spirit Vessel","Passive"
"438","Pierce the Veil","Passive"
"439","Grave Injustice","Passive"
"440","Creeping Death","Passive"
"441","Piranhas","Piranhado"
"442","Fetish Army","Legion of Daggers"
"443","Spirit Walk","Jaunt"
"444","Mass Confusion","Paranoia"
"445","Horrify","Face of Death"
"446","Big Bad Voodoo","Slam Dance"
"447","Grave Injustice","Passive"
"448","Spirit Vessel","Passive"
"449","Creeping Death","Passive"
"450","Tribal Rites","Passive"
"451","Fetish Army","Tiki Torchers"
"452","Big Bad Voodoo","Slam Dance"
"453","Spirit Walk","Jaunt"
"454","Summon Zombie Dogs","Final Gift"
"455","Piranhas","Piranhado"
"456","Horrify","Face of Death"
"457","Zombie Handler","Passive"
"458","Spirit Vessel","Passive"
"459","Tribal Rites","Passive"
"460","Grave Injustice","Passive"
"461","Plague of Toads","Rain of Toads"
"462","Sacrifice","Provoke the Pack"
"463","Horrify","Face of Death"
"464","Big Bad Voodoo","Slam Dance"
"465","Spirit Walk","Jaunt"
"466","Fetish Army","Legion of Daggers"
"467","Spirit Vessel","Passive"
"468","Pierce the Veil","Passive"
"469","Fetish Sycophants","Passive"
"470","Gruesome Feast","Passive"
"471","Locust Swarm","Pestilence"
"472","Haunt","Poisoned Spirit"
"473","Spirit Walk","Jaunt"
"474","Horrify","Stalker"
"475","Soul Harvest","Siphon"
"476","Piranhas","Piranhado"
"477","Pierce the Veil","Passive"
"478","Creeping Death","Passive"
"479","Grave Injustice","Passive"
"480","Gruesome Feast","Passive"
"481","Plague of Toads","Rain of Toads"
"482","Spirit Walk","Jaunt"
"483","Big Bad Voodoo","Slam Dance"
"484","Fetish Army","Legion of Daggers"
"485","Horrify","Face of Death"
"486","Sacrifice","Provoke the Pack"
"487","Fetish Sycophants","Passive"
"488","Gruesome Feast","Passive"
"489","Spirit Vessel","Passive"
"490","Pierce the Veil","Passive"
"491","Fetish Army","Legion of Daggers"
"492","Plague of Toads","Rain of Toads"
"493","Spirit Walk","Jaunt"
"494","Sacrifice","Provoke the Pack"
"495","Horrify","Face of Death"
"496","Big Bad Voodoo","Slam Dance"
"497","Gruesome Feast","Passive"
"498","Pierce the Veil","Passive"
"499","Fierce Loyalty","Passive"
"500","Spirit Vessel","Passive"
"501","Haunt","Poisoned Spirit"
"502","Horrify","Face of Death"
"503","Big Bad Voodoo","Slam Dance"
"504","Fetish Army","Legion of Daggers"
"505","Spirit Walk","Jaunt"
"506","Piranhas","Piranhado"
"507","Jungle Fortitude","Passive"
"508","Tribal Rites","Passive"
"509","Spirit Vessel","Passive"
"510","Creeping Death","Passive"
"511","Mass Confusion","Paranoia"
"512","Fetish Army","Legion of Daggers"
"513","Big Bad Voodoo","Slam Dance"
"514","Horrify","Face of Death"
"515","Spirit Walk","Jaunt"
"516","Piranhas","Piranhado"
"517","Tribal Rites","Passive"
"518","Creeping Death","Passive"
"519","Spirit Vessel","Passive"
"520","Grave Injustice","Passive"
"521","Locust Swarm","Pestilence"
"522","Acid Cloud","Acid Rain"
"523","Spirit Walk","Honored Guest"
"524","Soul Harvest","Vengeful Spirit"
"525","Mass Confusion","Paranoia"
"526","Big Bad Voodoo","Slam Dance"
"527","Gruesome Feast","Passive"
"528","Spiritual Attunement","Passive"
"529","Grave Injustice","Passive"
"530",NA,"Passive"
"531","Haunt","Poisoned Spirit"
"532","Piranhas","Piranhado"
"533","Big Bad Voodoo","Slam Dance"
"534","Fetish Army","Legion of Daggers"
"535","Spirit Walk","Jaunt"
"536","Sacrifice","Provoke the Pack"
"537","Fierce Loyalty","Passive"
"538","Pierce the Veil","Passive"
"539","Midnight Feast","Passive"
"540","Gruesome Feast","Passive"
"541","Fetish Army","Head Hunters"
"542","Horrify","Face of Death"
"543","Piranhas","Piranhado"
"544","Haunt","Poisoned Spirit"
"545","Spirit Walk","Jaunt"
"546","Big Bad Voodoo","Slam Dance"
"547","Jungle Fortitude","Passive"
"548","Grave Injustice","Passive"
"549","Tribal Rites","Passive"
"550","Spirit Vessel","Passive"
"551","Piranhas","Piranhado"
"552","Haunt","Poisoned Spirit"
"553","Spirit Walk","Jaunt"
"554","Horrify","Face of Death"
"555","Fetish Army","Legion of Daggers"
"556","Big Bad Voodoo","Slam Dance"
"557","Grave Injustice","Passive"
"558","Spirit Vessel","Passive"
"559","Creeping Death","Passive"
"560","Jungle Fortitude","Passive"
"561","Summon Zombie Dogs","Rabid Dogs"
"562","Piranhas","Wave of Mutilation"
"563","Spirit Walk","Jaunt"
"564","Big Bad Voodoo","Slam Dance"
"565","Fetish Army","Head Hunters"
"566","Gargantuan","Wrathful Protector"
"567","Spirit Vessel","Passive"
"568","Pierce the Veil","Passive"
"569","Zombie Handler","Passive"
"570","Midnight Feast","Passive"
"571","Plague of Toads","Rain of Toads"
"572","Sacrifice","Provoke the Pack"
"573","Big Bad Voodoo","Slam Dance"
"574","Fetish Army","Legion of Daggers"
"575","Horrify","Face of Death"
"576","Spirit Walk","Jaunt"
"577","Gruesome Feast","Passive"
"578","Pierce the Veil","Passive"
"579","Spirit Vessel","Passive"
"580","Fetish Sycophants","Passive"
"581","Haunt","Poisoned Spirit"
"582","Locust Swarm","Pestilence"
"583","Spirit Walk","Jaunt"
"584","Piranhas","Piranhado"
"585","Soul Harvest","Siphon"
"586","Horrify","Stalker"
"587","Pierce the Veil","Passive"
"588","Creeping Death","Passive"
"589","Spirit Vessel","Passive"
"590","Grave Injustice","Passive"
"591","Plague of Toads","Rain of Toads"
"592","Horrify","Face of Death"
"593","Big Bad Voodoo","Slam Dance"
"594","Spirit Walk","Jaunt"
"595","Fetish Army","Legion of Daggers"
"596","Sacrifice","Provoke the Pack"
"597","Fetish Sycophants","Passive"
"598","Pierce the Veil","Passive"
"599","Spirit Vessel","Passive"
"600","Gruesome Feast","Passive"
"601","Plague of Toads","Rain of Toads"
"602","Sacrifice","Provoke the Pack"
"603","Spirit Walk","Jaunt"
"604","Horrify","Face of Death"
"605","Fetish Army","Legion of Daggers"
"606","Big Bad Voodoo","Slam Dance"
"607","Pierce the Veil","Passive"
"608","Fetish Sycophants","Passive"
"609","Spirit Vessel","Passive"
"610","Gruesome Feast","Passive"
"611","Haunt","Poisoned Spirit"
"612","Poison Dart","Snake to the Face"
"613","Spirit Walk","Jaunt"
"614","Piranhas","Piranhado"
"615","Fetish Army","Legion of Daggers"
"616","Big Bad Voodoo","Slam Dance"
"617","Fetish Sycophants","Passive"
"618","Spirit Vessel","Passive"
"619","Grave Injustice","Passive"
"620","Gruesome Feast","Passive"
"621","Plague of Toads","Rain of Toads"
"622","Piranhas","Piranhado"
"623","Spirit Walk","Jaunt"
"624","Big Bad Voodoo","Slam Dance"
"625","Fetish Army","Legion of Daggers"
"626","Horrify","Stalker"
"627","Fierce Loyalty","Passive"
"628","Pierce the Veil","Passive"
"629","Gruesome Feast","Passive"
"630","Fetish Sycophants","Passive"
"631","Haunt","Resentful Spirits"
"632","Locust Swarm","Pestilence"
"633","Spirit Walk","Jaunt"
"634","Piranhas","Piranhado"
"635","Soul Harvest","Siphon"
"636","Horrify","Frightening Aspect"
"637","Spirit Vessel","Passive"
"638","Creeping Death","Passive"
"639","Grave Injustice","Passive"
"640","Pierce the Veil","Passive"
"641","Haunt","Resentful Spirits"
"642","Soul Harvest","Siphon"
"643","Spirit Walk","Jaunt"
"644","Piranhas","Piranhado"
"645","Horrify","Face of Death"
"646","Locust Swarm","Pestilence"
"647","Grave Injustice","Passive"
"648","Spirit Vessel","Passive"
"649","Creeping Death","Passive"
"650","Pierce the Veil","Passive"
"651","Plague of Toads","Rain of Toads"
"652","Piranhas","Frozen Piranhas"
"653","Big Bad Voodoo","Slam Dance"
"654","Spirit Walk","Jaunt"
"655","Fetish Army","Legion of Daggers"
"656","Summon Zombie Dogs","Life Link"
"657","Fetish Sycophants","Passive"
"658","Pierce the Veil","Passive"
"659","Tribal Rites","Passive"
"660","Fierce Loyalty","Passive"
"661","Fetish Army","Head Hunters"
"662","Horrify","Face of Death"
"663","Haunt","Poisoned Spirit"
"664","Spirit Walk","Jaunt"
"665","Big Bad Voodoo","Slam Dance"
"666","Piranhas","Piranhado"
"667","Spirit Vessel","Passive"
"668","Creeping Death","Passive"
"669","Grave Injustice","Passive"
"670","Tribal Rites","Passive"
"671","Locust Swarm","Devouring Swarm"
"672","Haunt","Lingering Spirit"
"673","Spirit Walk","Jaunt"
"674","Horrify","Frightening Aspect"
"675","Piranhas","Piranhado"
"676","Soul Harvest","Siphon"
"677","Pierce the Veil","Passive"
"678","Creeping Death","Passive"
"679","Spirit Vessel","Passive"
"680","Grave Injustice","Passive"
"681","Haunt","Resentful Spirits"
"682","Locust Swarm","Pestilence"
"683","Piranhas","Piranhado"
"684","Spirit Walk","Jaunt"
"685","Soul Harvest","Siphon"
"686","Horrify","Face of Death"
"687","Spirit Vessel","Passive"
"688","Creeping Death","Passive"
"689","Pierce the Veil","Passive"
"690","Gruesome Feast","Passive"
"691","Haunt","Poisoned Spirit"
"692","Piranhas","Piranhado"
"693","Fetish Army","Legion of Daggers"
"694","Spirit Walk","Jaunt"
"695","Big Bad Voodoo","Slam Dance"
"696","Horrify","Face of Death"
"697","Jungle Fortitude","Passive"
"698","Creeping Death","Passive"
"699","Spirit Vessel","Passive"
"700","Tribal Rites","Passive"
"701","Haunt","Resentful Spirits"
"702","Locust Swarm","Pestilence"
"703","Spirit Walk","Jaunt"
"704","Soul Harvest","Siphon"
"705","Piranhas","Piranhado"
"706","Horrify","Stalker"
"707","Pierce the Veil","Passive"
"708","Gruesome Feast","Passive"
"709","Spirit Vessel","Passive"
"710","Creeping Death","Passive"
"711","Locust Swarm","Pestilence"
"712","Haunt","Poisoned Spirit"
"713","Soul Harvest","Siphon"
"714","Spirit Walk","Jaunt"
"715","Piranhas","Piranhado"
"716","Horrify","Face of Death"
"717","Grave Injustice","Passive"
"718","Pierce the Veil","Passive"
"719","Spirit Vessel","Passive"
"720","Creeping Death","Passive"
"721","Haunt","Poisoned Spirit"
"722","Locust Swarm","Pestilence"
"723","Piranhas","Piranhado"
"724","Spirit Walk","Jaunt"
"725","Soul Harvest","Siphon"
"726","Horrify","Frightening Aspect"
"727","Grave Injustice","Passive"
"728","Pierce the Veil","Passive"
"729","Spirit Vessel","Passive"
"730","Creeping Death","Passive"
"731","Haunt","Resentful Spirits"
"732","Locust Swarm","Pestilence"
"733","Spirit Walk","Jaunt"
"734","Soul Harvest","Siphon"
"735","Piranhas","Piranhado"
"736","Horrify","Face of Death"
"737","Spirit Vessel","Passive"
"738","Grave Injustice","Passive"
"739","Pierce the Veil","Passive"
"740","Creeping Death","Passive"
"741","Summon Zombie Dogs","Final Gift"
"742","Horrify","Face of Death"
"743","Sacrifice","Black Blood"
"744","Spirit Walk","Jaunt"
"745","Piranhas","Piranhado"
"746","Big Bad Voodoo","Slam Dance"
"747","Tribal Rites","Passive"
"748","Zombie Handler","Passive"
"749","Spirit Vessel","Passive"
"750","Grave Injustice","Passive"
"751","Haunt","Poisoned Spirit"
"752","Piranhas","Piranhado"
"753","Spirit Walk","Jaunt"
"754","Horrify","Face of Death"
"755","Big Bad Voodoo","Slam Dance"
"756","Fetish Army","Head Hunters"
"757","Spirit Vessel","Passive"
"758","Jungle Fortitude","Passive"
"759","Grave Injustice","Passive"
"760","Creeping Death","Passive"
"761","Plague of Toads","Rain of Toads"
"762","Horrify","Face of Death"
"763","Spirit Walk","Jaunt"
"764","Big Bad Voodoo","Slam Dance"
"765","Sacrifice","Provoke the Pack"
"766","Fetish Army","Legion of Daggers"
"767","Grave Injustice","Passive"
"768","Spirit Vessel","Passive"
"769","Fetish Sycophants","Passive"
"770","Pierce the Veil","Passive"
"771","Haunt","Resentful Spirits"
"772","Locust Swarm","Pestilence"
"773","Soul Harvest","Siphon"
"774","Piranhas","Piranhado"
"775","Spirit Walk","Jaunt"
"776","Horrify","Face of Death"
"777","Grave Injustice","Passive"
"778","Creeping Death","Passive"
"779","Pierce the Veil","Passive"
"780","Spirit Vessel","Passive"
"781","Plague of Toads","Rain of Toads"
"782","Piranhas","Piranhado"
"783","Summon Zombie Dogs","Leeching Beasts"
"784","Spirit Walk","Jaunt"
"785","Big Bad Voodoo","Slam Dance"
"786","Fetish Army","Legion of Daggers"
"787","Pierce the Veil","Passive"
"788","Midnight Feast","Passive"
"789","Zombie Handler","Passive"
"790","Gruesome Feast","Passive"
"791","Piranhas","Piranhado"
"792","Haunt","Lingering Spirit"
"793","Spirit Walk","Jaunt"
"794","Soul Harvest","Siphon"
"795","Horrify","Ruthless Terror"
"796","Locust Swarm","Pestilence"
"797","Grave Injustice","Passive"
"798","Gruesome Feast","Passive"
